Title,Source,Date,Search Term
The Technology 202: Lawmakers Are Concerned About Exporting Tech’s Legal Shie,Washington Post,17-Oct, Elizabeth A Warren
Opinion: Morning Bits: Rising Opposition to Trump,Washington Post,17-Oct, Elizabeth A Warren
Punitive Taxes on U.S. Billionaires Will Just Hurt the Rest of Us,Washington Post,17-Oct, Elizabeth A Warren
The Health 202: House Democrats Are Pushing Forward on Their Partisan Drug-pr,Washington Post,17-Oct, Elizabeth A Warren
Opinion: A Shadow Argument Among Democrats: What Happens After Trump’s Gone,Washington Post,17-Oct, Elizabeth A Warren
What You Missed While Not Watching Last Night’s Democratic Presidential Debate,Washington Post,17-Oct, Elizabeth A Warren
Opinion: Perhaps Sanders And Warren Are the Ones Being Politically Expedient,Washington Post,17-Oct, Elizabeth A Warren            
Opinion: Elizabeth Warren the Front-runner? That’s Great News for Republicans.,Washington Post,17-Oct, Elizabeth A Warren            
Elizabeth Warren,Washington Post,17-Oct, Elizabeth A Warren            
Opinion: This Is How Biden Can Take Apart Trump,Washington Post,17-Oct, Joseph Robinette Biden Jr
‘Your Name Is Literally Your Dad’s Full Name’: Donald Trump Jr. Slammed for Attack,Washington Post,17-Oct, Joseph Robinette Biden Jr
Opinion: Elizabeth Warren the Front-runner? That’s Great News for Republicans.,Washington Post,17-Oct, Joseph Robinette Biden Jr
Joe Biden,Washington Post,17-Oct, Joseph Robinette Biden Jr
Opinion: The Nancy Pelosi Photo Is a Rorschach Test for An America Cleaved Into,Washington Post,17-Oct, Joseph Robinette Biden Jr
‘Get Over It’: Mulvaney’s Twin Admissions Put Trump At the Center of Emolument,Washington Post,17-Oct, Joseph Robinette Biden Jr
Hundreds of Trump Supporters Rally for Embattled President on Capitol Grounds,Washington Post,17-Oct, Joseph Robinette Biden Jr
"After Saying Trump Held Back Aid to Pressure Ukraine, Mulvaney Tries to Walk Ba",Washington Post,17-Oct, Joseph Robinette Biden Jr
Mulvaney’s Rationalization for the Ukraine Aid Quid Pro Quo Makes No Sense,Washington Post,17-Oct, Joseph Robinette Biden Jr
Trump’s Acting Chief of Staff Admits It: There Was a Ukraine Quid Pro Quo,Washington Post,17-Oct, Joseph Robinette Biden Jr
Hundreds of Trump Supporters Rally for Embattled President on Capitol Lawn,Washington Post,17-Oct, Joseph Robinette Biden Jr
How Sanders Scored a Coup And Won the Backing of Ocasio-Cortez And Omar,Washington Post,17-Oct, Joseph Robinette Biden Jr
Time for the Third-quarter Fundraising Heat Check,Washington Post,17-Oct, Joseph Robinette Biden Jr
Mulvaney Confirms Ukraine Aid Withheld in Part to Force Probe of Democrats,Washington Post,17-Oct, Joseph Robinette Biden Jr
Opinion: Impeachment Is Now a Slam Dunk,Washington Post,17-Oct, Joseph Robinette Biden Jr
Two Men Charged in Giuliani Associates’ Case Plead Not Guilty,Washington Post,17-Oct, Joseph Robinette Biden Jr
Opinion: Mick Mulvaney Just Told House Investigators Everything They Need to Kn,Washington Post,17-Oct, Joseph Robinette Biden Jr
Trump’s First Mistake in Syria Was Ever Trusting Erdogan,Washington Post,17-Oct, Joseph Robinette Biden Jr
Facebook CEO Mark Zuckerberg Says in Interview He Fears ‘erosion of Truth’ But ,Washington Post,17-Oct, Joseph Robinette Biden Jr
Live Updates: Pelosi Puts No Timetable on Impeach Inquiry Amid Another Day of ,Washington Post,17-Oct, Joseph Robinette Biden Jr
Opinion: Sondland’s Testimony Raises New Questions About Giuliani’s Role in Scan,Washington Post,17-Oct, Joseph Robinette Biden Jr
Mulvaney Confirms Ukraine Aid Withheld in Part to Investigate Democrats,Washington Post,17-Oct, Joseph Robinette Biden Jr
Kamala Harris,Washington Post,17-Oct, Joseph Robinette Biden Jr
Trump’s Chief of Staff Admits It: There Was a Ukraine Quid Pro Quo,Washington Post,17-Oct, Joseph Robinette Biden Jr
‘A Giant of Integrity And Knowledge Has Fallen’: Washington Reacts to the Death o,Washington Post,17-Oct, Joseph Robinette Biden Jr
Opinion: The Big Lie At the Core of Trump’s Ugly Meltdown At Pelosi,Washington Post,17-Oct, Joseph Robinette Biden Jr
Live Updates: Democrats Prepare to Block GOP-backed Resolution to Censure Sch,Washington Post,17-Oct, Joseph Robinette Biden Jr
Trump’s Envoy Tells Congress the President Outsourced Ukraine Policy to Giuliani,Washington Post,17-Oct, Joseph Robinette Biden Jr
This Central Claim in Gordon Sondland’s Testimony Just Doesn’t Add Up,Washington Post,17-Oct, Joseph Robinette Biden Jr
Live Updates: Sondland Says Trump Urged Him to Work With Giuliani on Ukraine,Washington Post,17-Oct, Joseph Robinette Biden Jr
Opinion: Obama’s Strange And Irresponsible Endorsement of Justin Trudeau,Washington Post,17-Oct, Joseph Robinette Biden Jr
Ex-Pompeo Adviser Tells Impeachment Investigators He Was ‘disturbed’ By Attem,Washington Post,17-Oct, Joseph Robinette Biden Jr
Opinion: Can You Take Four More Years of This?,Washington Post,17-Oct, Joseph Robinette Biden Jr
Live Updates: Another Key Figure Testifies in Impeachment Inquiry as Trump See,Washington Post,17-Oct, Joseph Robinette Biden Jr
‘Your Name Is Literally Your Dad’s Full Name’: Donald Trump Jr. Slammed for Att,Washington Post,17-Oct, Joseph Robinette Biden Jr
Opinion: How Klobuchar And Buttigieg Can Retain Momentum,Washington Post,17-Oct, Joseph Robinette Biden Jr
The Democrats Getting the Most Bang for Their Bucks — and the Ones Getting the ,Washington Post,17-Oct, Joseph Robinette Biden Jr
"The Energy 202: Wall Street Shouldn’t Help Huge Saudi Oil Company Go Public, Gre",Washington Post,17-Oct, Joseph Robinette Biden Jr
Opinion: Morning Bits: Rising Opposition to Trump,Washington Post,17-Oct, Joseph Robinette Biden Jr
Opinion: A Shadow Argument Among Democrats: What Happens After Trump’s Gone,Washington Post,17-Oct, Joseph Robinette Biden Jr
What You Missed While Not Watching Last Night’s Democratic Presidential Debate,Washington Post,17-Oct, Joseph Robinette Biden Jr
Trump Disparages Pelosi At Their First Meeting Since Impeachment Inquiry Began,Washington Post,17-Oct, Joseph Robinette Biden Jr
Opinion: Perhaps Sanders And Warren Are the Ones Being Politically Expedient,Washington Post,17-Oct,Pete Buttigieg
Time for the Third-quarter Fundraising Heat Check,Washington Post,17-Oct,Pete Buttigieg
Pete Buttigieg,Washington Post,17-Oct,Pete Buttigieg
Opinion: How Klobuchar And Buttigieg Can Retain Momentum,Washington Post,17-Oct,Pete Buttigieg
The Democrats Getting the Most Bang for Their Bucks — and the Ones Getting the ,Washington Post,17-Oct,Pete Buttigieg
Opinion: Morning Bits: Rising Opposition to Trump,Washington Post,17-Oct,Pete Buttigieg
Opinion: A Shadow Argument Among Democrats: What Happens After Trump’s Gone,Washington Post,17-Oct,Pete Buttigieg
What You Missed While Not Watching Last Night’s Democratic Presidential Debate,Washington Post,17-Oct,Pete Buttigieg
Time for the Third-quarter Fundraising Heat Check,Washington Post,17-Oct,Kamala D Harris
Kamala Harris,Washington Post,17-Oct,Kamala D Harris
The Democrats Getting the Most Bang for Their Bucks — and the Ones Getting the ,Washington Post,17-Oct,Kamala D Harris
What You Missed While Not Watching Last Night’s Democratic Presidential Debate,Washington Post,17-Oct,Kamala D Harris
Live Updates: Rick Perry Won’t Comply With Subpoena in Impeachment Inquiry,Washington Post,18-Oct," Bernard Sanders ""Bernie""           "
"Live Updates: Trump, GOP Allies Seize on a Report Damaging to Biden",Washington Post,18-Oct," Bernard Sanders ""Bernie""           "
"Opinion: Hey, Democrats, Why Not Talk About Health-care Delivery, Not Just Abou",Washington Post,18-Oct," Bernard Sanders ""Bernie""           "
Opinion: Bernie Sanders And Elizabeth Warren Put Themselves Out of the Mainstre,Washington Post,18-Oct," Bernard Sanders ""Bernie""           "
The Technology 202: Mark Zuckerberg Says Facebook Is Taking a Long View on Fr,Washington Post,18-Oct," Bernard Sanders ""Bernie""           "
Opinion: Bernie Sanders And Elizabeth Warren Put Themselves Out of the Mainstream,Washington Post,18-Oct," Bernard Sanders ""Bernie""                   "
"Zuckerberg’s Speech Draws Ire From 2020 Candidates, Civil Rights Advocates",Washington Post,18-Oct, Elizabeth A Warren
Supreme Court Will Decide Constitutionality of Consumer Watchdog Bureau,Washington Post,18-Oct, Elizabeth A Warren
"Opinion: Hey, Democrats, Why Not Talk About Health-care Delivery, Not Just Abou",Washington Post,18-Oct, Elizabeth A Warren
Opinion: Bernie Sanders And Elizabeth Warren Put Themselves Out of the Mainstre,Washington Post,18-Oct, Elizabeth A Warren
Opinion: The Trump-Ukraine Scandal Proves We Need to Clean Up U.S. Diplomacy,Washington Post,18-Oct, Elizabeth A Warren
"Punitive Taxes on Billionaires Are Bad Politics, Bad Economics And Just Plain Unfa",Washington Post,18-Oct, Elizabeth A Warren
Opinion: Readers Critique The Post: This Comic Got the Three-Fifths Compromise ,Washington Post,18-Oct, Elizabeth A Warren
Opinion: Elizabeth Warren Takes on Wall Street’s Role in Our Surging Medical Bills,Washington Post,18-Oct, Elizabeth A Warren
Are Jobs Lost Due to ‘bad Trade Policy’ Or Automation?,Washington Post,18-Oct, Elizabeth A Warren
Opinion: The Bull’s Eye Just Landed on Someone New,Washington Post,18-Oct, Elizabeth A Warren
Power Up: Why Hollywood Execs (and Oprah) Are Still Dreaming of a Bob Iger 202,Washington Post,18-Oct, Elizabeth A Warren
The Technology 202: Mark Zuckerberg Says Facebook Is Taking a Long View on Fr,Washington Post,18-Oct, Elizabeth A Warren
Opinion: Bernie Sanders And Elizabeth Warren Put Themselves Out of the Mainstream,Washington Post,18-Oct, Elizabeth A Warren            
Opinion: Elizabeth Warren Takes on Wall Street’s Role in Our Surging Medical Bills,Washington Post,18-Oct, Elizabeth A Warren            
Are Jobs Lost Due to ‘bad Trade Policy’ Or Automation?,Washington Post,18-Oct, Elizabeth A Warren            
Diplomat Tells Investigators He Raised Alarms in 2015 About Hunter Biden’s Ukraine,Washington Post,18-Oct, Joseph Robinette Biden Jr
"Live Updates: Trump, GOP Allies Seize on a Report Damaging to Biden",Washington Post,18-Oct, Joseph Robinette Biden Jr
Trump’s Ad Hoc Defenses on Ukraine Have Largely Fallen Apart,Washington Post,18-Oct, Joseph Robinette Biden Jr
"Zuckerberg’s Speech Draws Ire From 2020 Candidates, Civil Rights Advocates",Washington Post,18-Oct, Joseph Robinette Biden Jr
"Growing Number of Republicans Struggle to Defend Trump on G-7 Choice, Ukraine",Washington Post,18-Oct, Joseph Robinette Biden Jr
Live Updates: Rick Perry Won’t Comply With Subpoena in Impeachment Inquiry,Washington Post,18-Oct, Joseph Robinette Biden Jr
Opinion: An Open Letter to Rick Perry,Washington Post,18-Oct, Joseph Robinette Biden Jr
Diplomat Tells Investigators He Raised Alarms in 2015 About Hunter Biden’s Ukra,Washington Post,18-Oct, Joseph Robinette Biden Jr
The Problems With Zuckerberg’s MLK And Frederick Douglass Analogy,Washington Post,18-Oct, Joseph Robinette Biden Jr
Opinion: Welcome to the Quid Pro Show,Washington Post,18-Oct, Joseph Robinette Biden Jr
Impeachment Inquiry Shows Trump At the Center of Ukraine Efforts Against Rivals,Washington Post,18-Oct, Joseph Robinette Biden Jr
Trump to Nominate Energy Dept. Deputy Dan Brouillette to Succeed Rick Perry as ,Washington Post,18-Oct, Joseph Robinette Biden Jr
Hamilton Pushed for Impeachment Powers. Trump Is What He Had in Mind.,Washington Post,18-Oct, Joseph Robinette Biden Jr
Opinion: Readers Critique The Post: This Comic Got the Three-Fifths Compromise ,Washington Post,18-Oct, Joseph Robinette Biden Jr
"Both the President’s Men: Giuliani, Mulvaney And Trump’s Dream of Ukrainian Dir",Washington Post,18-Oct, Joseph Robinette Biden Jr
Opinion: Trump Is Struggling With One of the Most Basic Concepts in Government,Washington Post,18-Oct, Joseph Robinette Biden Jr
Opinion: Sean Hannity’s World Cracks,Washington Post,18-Oct, Joseph Robinette Biden Jr
"Opinion: Sorry, Mick Mulvaney. I Can’t ‘get Over It.’",Washington Post,18-Oct, Joseph Robinette Biden Jr
Live Updates: Perry Won’t Say If He’ll Comply With Deadline on Subpoenaed Docum,Washington Post,18-Oct, Joseph Robinette Biden Jr
Trump’s Acting Chief of Staff Admits It: There Was a Ukraine Quid Pro Quo,Washington Post,18-Oct, Joseph Robinette Biden Jr
Opinion: The Bull’s Eye Just Landed on Someone New,Washington Post,18-Oct, Joseph Robinette Biden Jr
Opinion: Mick Mulvaney’s Walkback Doesn’t Pass the Laugh Test. Here’s the Timel,Washington Post,18-Oct, Joseph Robinette Biden Jr
Opinion: Watch Senate Republicans. They Might Reach the Point of No Return.,Washington Post,18-Oct, Joseph Robinette Biden Jr
Trump Advisers And DOJ Enraged By Mulvaney Remarks; Pelosi Puts No Timetable,Washington Post,18-Oct, Joseph Robinette Biden Jr
"Live Updates: White House, Rick Perry Face Deadline for Documents in Trump Imp",Washington Post,18-Oct, Joseph Robinette Biden Jr
"Stymied By a Polarized Agency, FEC Chairwoman Ellen Weintraub Finds Her Voice a",Washington Post,18-Oct, Joseph Robinette Biden Jr
The Technology 202: Mark Zuckerberg Says Facebook Is Taking a Long View on Fr,Washington Post,18-Oct, Joseph Robinette Biden Jr
The Impeachment Inquiry Is Making Nancy Pelosi More Popular,Washington Post,18-Oct, Joseph Robinette Biden Jr
Romney Denounces Trump’s Syria Decision as a ‘bloodstain’ on U.S. History,Washington Post,18-Oct, Joseph Robinette Biden Jr
The Finance 202: Apple Is Still Far From Safe in the U.S.-China Trade War,Washington Post,18-Oct, Joseph Robinette Biden Jr
The Cybersecurity 202: Huawei Looks to Europe to Counter U.S. Claims It Can’t Be,Washington Post,18-Oct, Joseph Robinette Biden Jr
Opinion: The Bull’s Eye Just Landed on Someone New,Washington Post,18-Oct,Kamala D Harris
Opinion: Elizabeth Warren Takes on Wall Street’s Role in Our Surging Medical Bills,Washington Post,18-Oct,Pete Buttigieg
Opinion: The Bull’s Eye Just Landed on Someone New,Washington Post,18-Oct,Pete Buttigieg
"Sanders Returns to the Trail With a Major Rally: ‘To Put It Bluntly, I Am Back’",Washington Post,19-Oct," Bernard Sanders ""Bernie""           "
"As Trump Reels, Democrats Wonder Which of Their Candidates Can Beat Him",Washington Post,19-Oct," Bernard Sanders ""Bernie""           "
Battle Lines Drawn After Clinton And Gabbard Exchange Insults,Washington Post,19-Oct," Bernard Sanders ""Bernie""           "
Facebook’s Zuckerberg Pushes Back Against Bernie Sanders’s Call to Abolish Billio,Washington Post,19-Oct," Bernard Sanders ""Bernie""           "
Rick Perry Won’t Comply With Subpoena in Impeachment Inquiry,Washington Post,19-Oct," Bernard Sanders ""Bernie""           "
"Sanders Returns to the Trail With a Major Rally: ‘To Put It Bluntly, I Am Back’",Washington Post,19-Oct," Bernard Sanders ""Bernie""                   "
Facebook’s Zuckerberg Pushes Back Against Bernie Sanders’s Call to Abolish Billiona,Washington Post,19-Oct," Bernard Sanders ""Bernie""                   "
"As Trump Reels, Democrats Wonder Which of Their Candidates Can Beat Him",Washington Post,19-Oct, Elizabeth A Warren
"Sanders Returns to the Trail With a Major Rally: ‘To Put It Bluntly, I Am Back’",Washington Post,19-Oct, Elizabeth A Warren
Facebook’s Zuckerberg Pushes Back Against Bernie Sanders’s Call to Abolish Billio,Washington Post,19-Oct, Elizabeth A Warren
Inside Joe Biden’s Brawling Efforts to Reform Ukraine — Which Won Him Successes An,Washington Post,19-Oct, Joseph Robinette Biden Jr
Inside Joe Biden’s Brawling Efforts to Reform Ukraine — Which Won Him Successes,Washington Post,19-Oct, Joseph Robinette Biden Jr
"As Trump Reels, Democrats Wonder Which of Their Candidates Can Beat Him",Washington Post,19-Oct, Joseph Robinette Biden Jr
"Sanders Returns to the Trail With a Major Rally: ‘To Put It Bluntly, I Am Back’",Washington Post,19-Oct, Joseph Robinette Biden Jr
"Growing Number of Republicans Struggle to Defend Trump on G-7 Choice, Ukraine",Washington Post,19-Oct, Joseph Robinette Biden Jr
Rick Perry Won’t Comply With Subpoena in Impeachment Inquiry,Washington Post,19-Oct, Joseph Robinette Biden Jr
"Why Trump Can’t Change, No Matter What the Consequences Are",Washington Post,19-Oct, Joseph Robinette Biden Jr
"Giuliani Pressed State Department, White House to Grant Visa to Former Ukrainian",Washington Post,19-Oct, Joseph Robinette Biden Jr
"As Trump Reels, Democrats Wonder Which of Their Candidates Can Beat Him",Washington Post,19-Oct,Pete Buttigieg
What to Watch on TV This Weekend: ‘Watchmen’ Premieres on HBO,Washington Post,19-Oct,Pete Buttigieg
Opinion: Alexandria Ocasio-Cortez And Ilhan Omar’s Sanders Endorsements Matter,Washington Post,20-Oct," Bernard Sanders ""Bernie""           "
How a Crumbling Road in Syracuse Is Sparking a Conversation About Reparations,Washington Post,20-Oct," Bernard Sanders ""Bernie""           "
"After Weeks of Criticism, Warren Says She Will Release a Plan to Pay for Medicare",Washington Post,20-Oct," Bernard Sanders ""Bernie""           "
‘I Want to See What Comes Out of the Woodwork’,Washington Post,20-Oct," Bernard Sanders ""Bernie""           "
Amy Klobuchar Says She’s Catching on At Exactly the Right Time,Washington Post,20-Oct," Bernard Sanders ""Bernie""           "
Opinion: There’s An Effective And Progressive Solution for Climate Change. Why W,Washington Post,20-Oct," Bernard Sanders ""Bernie""           "
Opinion: Alexandria Ocasio-Cortez And Ilhan Omar’s Sanders Endorsements Matter — ,Washington Post,20-Oct," Bernard Sanders ""Bernie""                   "
"After Weeks of Criticism, Warren Says She Will Release a Plan to Pay for Medicare-fo",Washington Post,20-Oct," Bernard Sanders ""Bernie""                   "
Amy Klobuchar Says She’s Catching on At Exactly the Right Time,Washington Post,20-Oct," Bernard Sanders ""Bernie""                   "
"After Weeks of Criticism, Warren Says She Will Release a Plan to Pay for Medicare",Washington Post,20-Oct, Elizabeth A Warren
How a Crumbling Road in Syracuse Is Sparking a Conversation About Reparations,Washington Post,20-Oct, Elizabeth A Warren
Opinion: Trump’s Fifth Avenue Theory Is Showing Some Cracks,Washington Post,20-Oct, Elizabeth A Warren
Opinion: Stick-it-to-the-libs Is All Trump Has Left,Washington Post,20-Oct, Elizabeth A Warren
Amy Klobuchar Says She’s Catching on At Exactly the Right Time,Washington Post,20-Oct, Elizabeth A Warren
Opinion: There’s An Effective And Progressive Solution for Climate Change. Why W,Washington Post,20-Oct, Elizabeth A Warren
Opinion: Distinguished Pol of the Week: She Went After a Holier-than-thou Oppone,Washington Post,20-Oct, Elizabeth A Warren
Amy Klobuchar Says She’s Catching on At Exactly the Right Time,Washington Post,20-Oct, Elizabeth A Warren  
"After Weeks of Criticism, Warren Says She Will Release a Plan to Pay for Medicare-fo",Washington Post,20-Oct, Elizabeth A Warren            
Opinion: Distinguished Pol of the Week: She Went After a Holier-than-thou Opponent,Washington Post,20-Oct, Elizabeth A Warren            
‘Bribery’ Is Right There in the Constitution. Trump Could Be Impeached for That.,Washington Post,20-Oct, Joseph Robinette Biden Jr
"Mulvaney Continues to Back Away From Quid Pro Quo, as Top Diplomat Defends Giuli",Washington Post,20-Oct, Joseph Robinette Biden Jr
Amy Klobuchar Says She’s Catching on At Exactly the Right Time,Washington Post,20-Oct, Joseph Robinette Biden Jr
How a Crumbling Road in Syracuse Is Sparking a Conversation About Reparations,Washington Post,20-Oct, Joseph Robinette Biden Jr
Opinion: Why We Should Impeach And Remove President Trump,Washington Post,20-Oct, Joseph Robinette Biden Jr
Opinion: Impeachment Is the Lesser Evil,Washington Post,20-Oct, Joseph Robinette Biden Jr
"Opinion: Mick Mulvaney Tries to Clean Up His Mess, And Fails",Washington Post,20-Oct, Joseph Robinette Biden Jr
‘I Want to See What Comes Out of the Woodwork’,Washington Post,20-Oct, Joseph Robinette Biden Jr
Opinion: There’s An Effective And Progressive Solution for Climate Change. Why W,Washington Post,20-Oct, Joseph Robinette Biden Jr
"Mulvaney Continues to Back Away From Quid Pro Quo, as Top Diplomat Defends Gi",Washington Post,20-Oct, Joseph Robinette Biden Jr
Inside Joe Biden’s Brawling Efforts to Reform Ukraine — Which Won Him Successes,Washington Post,20-Oct, Joseph Robinette Biden Jr
How a Crumbling Road in Syracuse Is Sparking a Conversation About Reparations,Washington Post,20-Oct,Kamala D Harris
Amy Klobuchar Says She’s Catching on At Exactly the Right Time,Washington Post,20-Oct,Kamala D Harris
How a Crumbling Road in Syracuse Is Sparking a Conversation About Reparations,Washington Post,20-Oct,Pete Buttigieg
"After Weeks of Criticism, Warren Says She Will Release a Plan to Pay for Medicare",Washington Post,20-Oct,Pete Buttigieg
Amy Klobuchar Says She’s Catching on At Exactly the Right Time,Washington Post,20-Oct,Pete Buttigieg
Republicans’ Advantage on National Security Has Faded — And Democratic Candida,Washington Post,21-Oct," Bernard Sanders ""Bernie""           "
The Health 202: A Landmark Opioids Trial Starts in Ohio Today. Drug Companies H,Washington Post,21-Oct," Bernard Sanders ""Bernie""           "
Opinion: Morning Bits: Not Even Republicans Can Defend Him,Washington Post,21-Oct," Bernard Sanders ""Bernie""           "
The Energy 202: Weather Channel to Host Its Own Climate Forum for 2020 Democr,Washington Post,21-Oct," Bernard Sanders ""Bernie""           "
Opinion: There’s Trouble for Trump And the GOP’s Future,Washington Post,21-Oct," Bernard Sanders ""Bernie""           "
Elizabeth Warren Calls for Billions of New Dollars to Reform Pre-K-12 Schools And,Washington Post,21-Oct," Bernard Sanders ""Bernie""           "
Opinion: Elizabeth Warren Faces New Challenges,Washington Post,21-Oct," Bernard Sanders ""Bernie""           "
Opinion: Morning Bits: Not Even Republicans Can Defend Him,Washington Post,21-Oct," Bernard Sanders ""Bernie""                   "
Opinion: There’s Trouble for Trump And the GOP’s Future,Washington Post,21-Oct," Bernard Sanders ""Bernie""                   "
Elizabeth Warren Calls for Billions of New Dollars to Reform Pre-K-12 Schools And Fi,Washington Post,21-Oct," Bernard Sanders ""Bernie""                   "
Opinion: Elizabeth Warren Faces New Challenges,Washington Post,21-Oct," Bernard Sanders ""Bernie""                   "
Republicans’ Advantage on National Security Has Faded — And Democratic Candida,Washington Post,21-Oct, Elizabeth A Warren
The Health 202: A Landmark Opioids Trial Starts in Ohio Today. Drug Companies H,Washington Post,21-Oct, Elizabeth A Warren
The Finance 202: A President Warren Would Rattle Industries Through Executive P,Washington Post,21-Oct, Elizabeth A Warren
The Energy 202: Weather Channel to Host Its Own Climate Forum for 2020 Democr,Washington Post,21-Oct, Elizabeth A Warren
The Technology 202: House Science Committee Chair Takes Aim At Silicon Valley’s,Washington Post,21-Oct, Elizabeth A Warren
Opinion: There’s Trouble for Trump And the GOP’s Future,Washington Post,21-Oct, Elizabeth A Warren
Elizabeth Warren Calls for Billions of New Dollars to Reform Pre-K-12 Schools And,Washington Post,21-Oct, Elizabeth A Warren
Opinion: Elizabeth Warren Faces New Challenges,Washington Post,21-Oct, Elizabeth A Warren
The Finance 202: A President Warren Would Rattle Industries Through Executive Pow,Washington Post,21-Oct, Elizabeth A Warren            
Opinion: There’s Trouble for Trump And the GOP’s Future,Washington Post,21-Oct, Elizabeth A Warren            
Elizabeth Warren Calls for Billions of New Dollars to Reform Pre-K-12 Schools And Fi,Washington Post,21-Oct, Elizabeth A Warren            
Opinion: Elizabeth Warren Faces New Challenges,Washington Post,21-Oct, Elizabeth A Warren            
Republicans’ Advantage on National Security Has Faded — And Democratic Candida,Washington Post,21-Oct, Joseph Robinette Biden Jr
The Health 202: A Landmark Opioids Trial Starts in Ohio Today. Drug Companies H,Washington Post,21-Oct, Joseph Robinette Biden Jr
The Finance 202: A President Warren Would Rattle Industries Through Executive P,Washington Post,21-Oct, Joseph Robinette Biden Jr
The Cybersecurity 202: Russia’s False Flags in Winter Olympics Cyberattack Heral,Washington Post,21-Oct, Joseph Robinette Biden Jr
The Energy 202: Weather Channel to Host Its Own Climate Forum for 2020 Democr,Washington Post,21-Oct, Joseph Robinette Biden Jr
‘C’est Moi’: Mitt Romney Admits to Running Secret Twitter Account Under the Alia,Washington Post,21-Oct, Joseph Robinette Biden Jr
The Technology 202: House Science Committee Chair Takes Aim At Silicon Valley’s,Washington Post,21-Oct, Joseph Robinette Biden Jr
Why Americans Turn to Conspiracy Theories,Washington Post,21-Oct, Joseph Robinette Biden Jr
Live Updates: Republicans Seek Censure of Schiff as More Witnesses Prepare to T,Washington Post,21-Oct, Joseph Robinette Biden Jr
The Cybersecurity 202: Huawei Looks to Europe to Counter U.S. Claims It Can’t Be,Washington Post,21-Oct, Joseph Robinette Biden Jr
Why Mick Mulvaney’s New Effort to Defend Trump on Ukraine Also Fails,Washington Post,21-Oct, Joseph Robinette Biden Jr
Opinion: Elizabeth Warren’s Health-care Dilemma,Washington Post,21-Oct, Joseph Robinette Biden Jr
Opinion: Readers Critique The Post: This Comic Got the Three-Fifths Compromise ,Washington Post,21-Oct, Joseph Robinette Biden Jr
Live Updates: Pelosi Details Evidence of What She Calls Trump’s ‘shakedown’ of U,Washington Post,21-Oct, Joseph Robinette Biden Jr
Opinion: Want Trump Removed? New Data Shows Fox News Is a Huge Obstacle.,Washington Post,21-Oct, Joseph Robinette Biden Jr
Opinion: There’s Trouble for Trump And the GOP’s Future,Washington Post,21-Oct, Joseph Robinette Biden Jr
"Facebook Disables Russian, Iranian Networks, Illustrating Continued 2020 Election",Washington Post,21-Oct, Joseph Robinette Biden Jr
"Mulvaney Continues to Back Away From Quid Pro Quo, as Top Diplomat Defends Gi",Washington Post,21-Oct, Joseph Robinette Biden Jr
Elizabeth Warren Calls for Billions of New Dollars to Reform Pre-K-12 Schools And,Washington Post,21-Oct, Joseph Robinette Biden Jr
Opinion: Democrats Cannot Win in 2020 Merely By Turning Out the Base,Washington Post,21-Oct, Joseph Robinette Biden Jr
It’s Not Just Giuliani: The Intertwining Team Focused on Trump And Ukraine,Washington Post,21-Oct, Joseph Robinette Biden Jr
Live Updates: Trump Urges GOP to ‘get Tougher And Fight’ Impeachment as Pelos,Washington Post,21-Oct, Joseph Robinette Biden Jr
Live Updates: Republicans Seek Censure of Schiff as More Witnesses Prepare to Test,Washington Post,21-Oct, Joseph Robinette Biden Jr
Live Updates: Pelosi Details Evidence of What She Calls Trump’s ‘shakedown’ of Ukra,Washington Post,21-Oct, Joseph Robinette Biden Jr
REVIEW & OUTLOOK (Editorial):  California's War on Gigs,Wall Street Journal,30-Aug,Kamala D Harris
EXCHANGE  ---  Heard on the Street:  The Bear Case  Against Amazon  ---  As its ,Wall Street Journal,31-Aug, Elizabeth A Warren
U.S. News  ---  CAPITAL JOURNAL:  Democrats Neglect Moderates at Their Peril  -,Wall Street Journal,3-Sep," Bernard Sanders ""Bernie""           "
Socialism Is for the Incurious  ----  By Roger Kimball,Wall Street Journal,3-Sep," Bernard Sanders ""Bernie""           "
U.S. News  ---  CAPITAL JOURNAL:  Democrats Neglect Moderates at Their Peril  -,Wall Street Journal,3-Sep, Elizabeth A Warren
U.S. News:  Unions Work to Reclaim Votes Lost to Trump in 2016  ----  By Alex Le,Wall Street Journal,3-Sep, Joseph Robinette Biden Jr
U.S. News  ---  CAPITAL JOURNAL:  Democrats Neglect Moderates at Their Peril  -,Wall Street Journal,3-Sep, Joseph Robinette Biden Jr
U.S. News:  Democrats Rev Up Campaigning  ----  By Tarini Parti and John McCor,Wall Street Journal,4-Sep," Bernard Sanders ""Bernie""           "
U.S. News:  Democrats Rev Up Campaigning  ----  By Tarini Parti and John McCor,Wall Street Journal,4-Sep, Elizabeth A Warren
U.S. News:  Democrats Rev Up Campaigning  ----  By Tarini Parti and John McCor,Wall Street Journal,4-Sep, Joseph Robinette Biden Jr
U.S. News:  Democrats Rev Up Campaigning  ----  By Tarini Parti and John McCor,Wall Street Journal,4-Sep,Pete Buttigieg
"Business World:  How Bad Can a Trade War Get?  ----  By Holman W. Jenkins, Jr.",Wall Street Journal,4-Sep,Kamala D Harris
U.S. News:  Another Kennedy Weighs a Run for Senate  ----  By Natalie Andrews,Wall Street Journal,5-Sep, Elizabeth A Warren
